Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Qatar,Included / Europe,Price / Europe,Compare At Price / Europe,Included / Gulf expansion phase 1,Price / Gulf expansion phase 1,Compare At Price / Gulf expansion phase 1,Included / International,Price / International,Compare At Price / International,Status
diode-schottky-1a-40v-1n5819-5-pcs,Diode Schottky 1A 40V - 1N5819 (5 pcs),"<h3>Description </h3>
<p>This package of 5 Diode Schottky 1N5819 ensures an efficient current flow with its low forward voltage drop and high surge current capability. 1A maximum current rating and 40V maximum working voltage.</p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1547,0,shopify,4,deny,manual,1,,TRUE,TRUE,VT-1547,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-diode-schottky-1a-40v-1n5819-5-pcs-41566234607933.jpg?v=1687190161,1,Voltaat COMP_Resis_Cap_Indu_Diode Diode Schottky 1A 40V - 1N5819 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.1,TRUE,TRUE,,,TRUE,,,TRUE,,,active
diode-rectifier-1a-400v-1n4004-5-pcs,Diode Rectifier 1A 1000V - 1N4007 (5 pcs),,Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1546,0,shopify,69,deny,manual,1,,TRUE,FALSE,VT-1546,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-diode-rectifier-1a-400v-1n4004-5-pcs-41566203117885.jpg?v=1687189800,1,Voltaat COMP_Resis_Cap_Indu_Diode Diode Rectifier 1A 400V - 1N4004 (5 pcs),FALSE,,,,,,,,,,,,,,,g,,0.06,TRUE,TRUE,,,TRUE,,,TRUE,,,active
diode-rectifier-1a-50v-1n4001,Diode Rectifier 1A 50V - 1N4001 (5 pcs),"<h3>Description </h3>
<p><span>This is a simple, subminiature size, axial lead mounted rectifier diode. Often used for reverse voltage protection, the 1N4001 is a staple for many power, DC to DC step up, and breadboard projects. The 1N4001 is rated for up to 1A/50V.</span></p>
<p> </p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1536,0,shopify,2,deny,manual,1,,TRUE,TRUE,VT-1536,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-diode-rectifier-1a-50v-1n4001-10-pcs-41565889593661.jpg?v=1687187640,1,Voltaat COMP_Resis_Cap_Indu_Diode Diode Rectifier 1A 50V - 1N4001 (10 pcs),FALSE,,,,,,,,,,,,,,,g,,0.1,TRUE,TRUE,,,TRUE,,,TRUE,,,active
diode-small-signal-1n4148-10-pcs,Diode Small Signal - 1N4148 (5 pcs),"<h3>Description </h3>
<p><span data-mce-fragment=""1"">This is a very common signal diode - 1N4148. Use this for signals up to 200mA of current.</span></p>
<p> </p>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Title,Default Title,,,,,VT-1506,0,shopify,2,deny,manual,1,,TRUE,TRUE,VT-1506,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-resis-cap-indu-diode-diode-small-signal-1n4148-10-pcs-41565892444477.jpg?v=1687187645,1,Voltaat COMP_Resis_Cap_Indu_Diode Diode Small Signal - 1N4148 (10 pcs),FALSE,,,,,,,,,,,,,,,g,,0.1,TRUE,TRUE,,,TRUE,,,TRUE,,,active
creality-color-touch-screen-kit-for-cr-6-se-3d-printer,Creality Color Touch Screen Kit for CR-6 SE 3D Printer,"<h3 class=""extra-item"" data-mce-fragment=""1""><span title=""300g"" class=""value"" data-mce-fragment=""1"">Specifications</span></h3>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span class=""label"" data-mce-fragment=""1"">Brand: </span><span title=""Creality"" class=""value"" data-mce-fragment=""1"">Creality</span>
</li>
<li data-mce-fragment=""1"">
<span class=""label"" data-mce-fragment=""1"">Product Size: 95</span><span title=""120*210*133mm"" class=""value"" data-mce-fragment=""1"">*96*133mm</span>
</li>
<li data-mce-fragment=""1"">
<span class=""label"" data-mce-fragment=""1"">Weight: </span><span title=""200g"" class=""value"" data-mce-fragment=""1"">280g</span>
</li>
<li data-mce-fragment=""1""><span title=""300g"" class=""value"" data-mce-fragment=""1"">Color: Black</span></li>
<li data-mce-fragment=""1""><span title=""300g"" class=""value"" data-mce-fragment=""1"">Rated Voltage: 24V</span></li>
<li data-mce-fragment=""1""><span title=""300g"" class=""value"" data-mce-fragment=""1"">Screen Size: 4.3 inch</span></li>
<li data-mce-fragment=""1""><span title=""300g"" class=""value"" data-mce-fragment=""1"">Touch Screen: Yes</span></li>
<li data-mce-fragment=""1""><span title=""300g"" class=""value"" data-mce-fragment=""1"">Compatible Printer: CR-6 SE</span></li>
</ul>",Voltaat,,3DP_Spare_Parts,,TRUE,Title,Default Title,,,,,,0,shopify,0,deny,manual,165,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-3dp-spare-parts-creality-color-touch-screen-kit-for-cr-6-se-3d-printer-41460378304829.webp?v=1686231121,1,Voltaat 3DP_Spare_Parts Creality Color Touch Screen Kit for CR-6 SE 3D Printer,FALSE,,,,,,,,,,,,,,,g,,87.6,TRUE,TRUE,,,TRUE,,,TRUE,,,active
stripboard-prototyping-soldering-board-6-5x14-5cm,Prototyping Soldering Stripboard (6.5x14.5cm),"<h3>Description </h3>
<p>This board is ideal for working on more permanent circuitry after the initial design process on a solderless breadboard. Designed with copper strips on one side to replicate a breadboard format, stripboard provides a rugged prototype with holes spaced 0.1"" (2.54mm) for components connected through soldering.</p>",Voltaat,,TOOLS_Soldering_Parts,,TRUE,Title,Default Title,,,,,VT-1504,40,shopify,96,deny,manual,4,,TRUE,TRUE,VT-1504,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-tools-soldering-parts-prototyping-soldering-stripboard-6-5x14-5cm-41411827040573.jpg?v=1685898484,1,Voltaat TOOLS_Soldering_Parts Prototyping Soldering Stripboard (6.5x14.5cm),FALSE,,,,,,,,,,,,,,,g,,0.91,TRUE,TRUE,,,TRUE,,,TRUE,,,active
stripboard-prototyping-soldering-board-6-5x14-5cm,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-tools-soldering-parts-prototyping-soldering-stripboard-6-5x14-5cm-41411827007805.jpg?v=1685898484,2,Voltaat TOOLS_Soldering_Parts Prototyping Soldering Stripboard (6.5x14.5cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-filament-3d-printer-1kg-bundle-any-color-pla,10 filament 3D printer 1KG bundle - Any color (PLA),"<h3>Description </h3>
<p>We know that you all love 3D printing all the time. That's why we decided to make it even cheaper for you to keep printing! </p>
<p>You can choose from the following colors for your bundle:</p>
<ul>
<li>Red- 1.75mm - 1KG</li>
<li>Yellow <span data-mce-fragment=""1"">- 1.75mm - 1KG</span>
</li>
<li>Green <span data-mce-fragment=""1"">- 1.75mm - 1KG</span>
</li>
<li>Blue <span data-mce-fragment=""1"">- 1.75mm - 1KG</span>
</li>
<li>Purple <span data-mce-fragment=""1"">- 1.75mm - 1KG</span>
</li>
<li><span data-mce-fragment=""1"">Orange- 1.75 mm- 1KG</span></li>
<li><span data-mce-fragment=""1"">Gray- 1.75 mm- 1KG</span></li>
<li><span data-mce-fragment=""1"">White - 1.75mm - 1KG</span></li>
<li><span data-mce-fragment=""1"">Black- 1.75 mm- 1KG</span></li>
</ul>
<p><span data-mce-fragment=""1"">Add this product your cart and mention what colors you want at the notes before the checkout. </span></p>
<p>Happy 3D Printing!  </p>",Voltaat,,3DP_Filaments,,TRUE,Title,Default Title,,,,,VT-1505,6000,shopify,2,deny,manual,950,1250,TRUE,TRUE,VT-1505,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-3dp-filaments-10-filament-3d-printer-1kg-bundle-any-color-pla-41400086593853.png?v=1685811000,1,Voltaat 3DP_Filaments 10 filament 3D printer 1KG bundle - Any color (PLA),FALSE,,,,,,,,,,,,,,,kg,,328.13,TRUE,TRUE,,,TRUE,,,TRUE,,,active
male-and-female-dupont-connector-kit-310-pcs,Male and Female Dupont Connector Kit (310 PCS),"<h3><strong>Description </strong></h3>
<p>Make your own jumper wires with this kit. By adding the Dupont connector to any wire that you have, you can make a jumper wire!<br></p>
<h3><strong>kit include</strong></h3>
<ul>
<li>30pcs Connector housing female 2.54mm1x1p</li>
<li>20pcs Connector housing female 2.54mm 1x2p</li>
<li>20pcs Connector housing female 2.54mm 1x3p</li>
<li>10pcs Connector housing female 2.54mm 1x4p</li>
<li>10pcs Connector housing female 2.54mm 1x5p</li>
<li>10pcs Connector housing female 2.54mm 1x6p</li>
<li>10pcs Connector housing female 2.54mm 1x8p</li>
<li>100pcs jumper wire cable female pin connector</li>
<li>100pcs jumper wire cable male pin connector</li>
</ul>",Voltaat,,COMP_Jumper_wires_Breadboard,,TRUE,Title,Default Title,,,,,VT-1406,60,shopify,6,deny,manual,25,,TRUE,TRUE,VT-1406,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-jumper-wires-breadboard-male-and-female-dupont-connector-kit-310-pcs-41300842873149.jpg?v=1685002445,1,Voltaat COMP_Jumper_wires_Breadboard Male and Female Dupont Connector Kit (310 PCS),FALSE,,,,,,,,,,,,,,,g,,5.07,TRUE,TRUE,,,TRUE,,,TRUE,,,active
male-and-female-dupont-connector-kit-310-pcs,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-jumper-wires-breadboard-male-and-female-dupont-connector-kit-310-pcs-41300842905917.webp?v=1685002445,2,Voltaat COMP_Jumper_wires_Breadboard Male and Female Dupont Connector Kit (310 PCS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mini-solar-charger-module-for-li-ion-battery,Mini Solar Charger Module for Li-ion Battery,"<h3>Description </h3>
<p><span>This is a super mini Solar Lipo charger based on the CN3065 - a single lithium battery charge management chip. </span><span>This Solar charger provide you with the ability to get the most possible power out of your solar panel or other photovoltaic device and into a rechargable LiPo battery. Set-up is easy as well, just plug your solar panel into one side of the Solar charger and your battery into the other and you are good to start charging!</span><br><span> </span><br><span>The output of the Solar Charger is intended to charge a single polymer lithium ion cell. The load should be connected in parallel with the battery. By default, the Solar charge comes set to a maximum charge current of 500mA with a maximum recommended input of 6V (minimum 4.4V). It's recommended that batteries not be charged at greater than their capacity rating.</span><br><span> </span></p>
<h3>Specifications</h3>
<ul>
<li><span>Solar panel input: 4.4-6V</span></li>
<li><span>Max charge current: 500mA</span></li>
<li><span>Interface: 2-pin JST connectors(or PH2.0)</span></li>
<li><span>Short circuit protection</span></li>
<li><span>Continuous Charge Current Up to 500mA</span></li>
<li><span>Battery status indication ( Red : Charging , Green: Charged )</span></li>
<li><span>Support USB Charge (Micro-USB Connector)</span></li>
<li><span>Size: 2cm x 4cm</span></li>
</ul>",Voltaat,,PWR_Solar_Panels,,TRUE,Title,Default Title,,,,,VT-1550,0,shopify,19,deny,manual,15,,TRUE,TRUE,VT-1550,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-pwr-solar-panels-mini-solar-charger-module-for-li-ion-battery-41300783366461.jpg?v=1685001729,1,Voltaat PWR_Solar_Panels Mini Solar Charger Module for Li-ion Battery,FALSE,,,,,,,,,,,,,,,g,,2.48,TRUE,TRUE,,,TRUE,,,TRUE,,,active
mini-solar-charger-module-for-li-ion-battery,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-pwr-solar-panels-mini-solar-charger-module-for-li-ion-battery-41300783268157.jpg?v=1685001729,2,Voltaat PWR_Solar_Panels Mini Solar Charger Module for Li-ion Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mini-solar-charger-module-for-li-ion-battery,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-pwr-solar-panels-mini-solar-charger-module-for-li-ion-battery-41300783333693.webp?v=1685001729,3,Voltaat PWR_Solar_Panels Mini Solar Charger Module for Li-ion Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creality-cr-6-se-motherboard,Creality CR-6 SE Motherboard,"<h3>Description </h3>
<p>Replacement mainboard for your Creality CR-6 3D printer. Comes flashed with CR-6 firmware, ready to be installed.<br></p>
<p><strong>Specifications</strong>:</p>
<ul>
<li>32-Bit Control Board<br>
</li>
<li>Ultra-Quiet TMC Stepper Drivers<br>
</li>
<li>Compatible with the CR-6 SE and CR-6 MAX</li>
<li>Version: CR-ERA_<span> </span><span data-mce-fragment=""1"">V1.1.0.3</span>
</li>
</ul>",Voltaat,,3DP_Spare_Parts,,TRUE,Title,Default Title,,,,,VT-1508,0,shopify,-1,deny,manual,290,,TRUE,TRUE,VT-1508,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-3dp-spare-parts-creality-cr-6-se-motherboard-41292524290365.jpg?v=1684923065,1,Voltaat 3DP_Spare_Parts Creality CR-6 SE Motherboard,FALSE,,,,,,,,,,,,,,,g,,198.19,TRUE,TRUE,,,TRUE,,,TRUE,,,active
creality-cr-6-se-motherboard,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-3dp-spare-parts-creality-cr-6-se-motherboard-41292524421437.jpg?v=1684923065,2,Voltaat 3DP_Spare_Parts Creality CR-6 SE Motherboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnc-crocodile-plug-adaptor,BNC - Crocodile Plug Adaptor,"<h3>Specifications </h3>
<ul>
<li><span>Cable outside diameter: Φ4.0±0.1mm</span></li>
<li><span>Branch conducting wire length: Approx.16cm</span></li>
<li><span>Conducting wire outside diameter: Φ2.5mm</span></li>
<li><span>Impedance: 75Ω</span></li>
<li><span>Maximum input voltage: 500V pc</span></li>
<li><span>Maximum input current: 2.5A</span></li>
<li><span>Operating temperature: -10 ~ 50°C</span></li>
<li><span>Storage Temperature: -20 ~ 75°C</span></li>
</ul>",Voltaat,,COMP_Cables_Connectors,,TRUE,Title,Default Title,,,,,VT-1517,0,shopify,10,deny,manual,14,,TRUE,TRUE,VT-1517,https://cdn.shopify.com/s/files/1/2822/2674/files/voltaat-comp-cables-connectors-bnc-crocodile-plug-adaptor-41217565557053.jpg?v=1684152483,1,Voltaat COMP_Cables_Connectors BNC - Crocodile Plug Adaptor,FALSE,,,,,,,,,,,,,,,g,,4.38,TRUE,TRUE,,,TRUE,,,TRUE,,,active
screw-trimmer-potentiometer-2-pcs,Screw trimmer Potentiometer (2 pcs),"<meta charset=""utf-8"">
<h3>Description </h3>
<p>This 3296 Trim Pot (trimmable potentiometer) has a small screw adjuster on the top of the device.  It is breadboard friendly too, with 0.1"" pitch PTH pins! Perfect for your next LCD contrast adjuster, opamp setting, or volume level.<br><br></p>
<h3>Features</h3>
<ul>
<li>Side or top adjustment with lead screw</li>
<li>Power rating: 0.5W</li>
<li>25 turns and rotational life of 200 cycles</li>
<li>Temperature coefficient: ±100ppm/°C</li>
<li>Temperature Range -55 °C to +125 °C</li>
</ul>",Voltaat,,COMP_Resis_Cap_Indu_Diode,,TRUE,Resistance,200 Ohm,,,,,VT-1502,0,shopify,0,deny,manual,1,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2822/2674/products/voltaat-comp-resis-cap-indu-diode-screw-trimmer-potentiometer-2-pcs-40930383561021.jpg?v=1680643205,1,Voltaat COMP_Resis_Cap_Indu_Diode Screw trimmer Potentiometer (2 pcs),FALSE,,,,,,,,,,,,,,,g,,0.4,TRUE,TRUE,,,TRUE,,,TRUE,,,active
screw-trimmer-potentiometer-2-pcs,,,,,,,,,500 Ohm,,,,,VT-1628,0,shopify,11,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,1K Ohm,,,,,VT-1793,0,shopify,3,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,2K Ohm,,,,,VT-1634,0,shopify,11,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,5K Ohm,,,,,VT-1800,0,shopify,3,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,10K Ohm,,,,,VT-1826,0,shopify,32,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,20K Ohm,,,,,VT-1650,0,shopify,11,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,50K Ohm,,,,,VT-1983,0,shopify,1,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,100K Ohm,,,,,VT-1870,0,shopify,6,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,200K Ohm,,,,,VT-1662,0,shopify,11,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
screw-trimmer-potentiometer-2-pcs,,,,,,,,,1M Ohm,,,,,VT-1853,0,shopify,11,deny,manual,1,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,g,,0.4,,,,,,,,,,,
